국가별,2022,2022,2023,2023,2024,2024
국가별,수출,수입,수출,수입,수출,수입
　　　베냉,21.34,28.20,20.59,26.70,17.56,24.35
　　　보츠와나,40.49,39.53,49.83,33.18,21.61,36.78
　　　부르키나파소,24.01,29.25,21.20,28.85,-,-
　　　부룬디,6.20,37.74,7.76,43.77,-,-
　　　카메룬,12.59,17.76,8.93,18.26,-,-
　　　중앙아프리카공화국,6.00,22.20,5.36,19.64,-,-
　　　차드,24.58,11.69,19.36,11.51,-,-
　　　코모로,4.22,27.20,2.17,26.21,-,-
　　　콩고,45.27,19.22,38.97,25.78,-,-
　　　콩고민주공화국,23.82,17.34,24.48,17.31,-,-
　　　코트디부아르,23.47,25.50,25.53,23.80,24.17,21.76
　　　지부티,129.14,100.03,115.57,99.74,-,-
　　　이집트,10.76,20.07,10.63,21.01,10.84,22.10
　　　적도기니,54.79,21.83,42.15,25.13,-,-
　　　에티오피아,3.13,14.72,-,-,-,-
　　　가봉,44.40,25.11,38.39,30.42,-,-
　　　감비아,0.98,34.10,-,-,-,-
　　　가나,23.67,-,20.72,-,-,-
　　　기니,43.96,24.32,43.00,20.96,-,-
　　　기니비사우,13.32,25.61,11.21,28.30,-,-
　　　케냐,6.47,18.49,6.66,17.20,-,-
　　　레소토,37.99,78.80,-,-,-,-
　　　라이베리아,26.44,38.19,25.06,38.72,-,-
　　　리비아,88.37,37.29,55.51,26.16,-,-
　　　말리,22.55,28.85,21.61,33.97,-,-
　　　모리셔스,18.50,51.20,16.28,44.49,-,-
　　　모로코,31.67,54.83,28.83,47.52,29.28,49.02
　　　나미비아,47.34,62.81,45.24,59.56,-,-
　　　니제르,6.67,23.87,6.57,13.70,-,-
　　　나이지리아,13.21,12.64,15.91,12.63,-,-
　　　르완다,9.96,39.72,11.75,42.92,-,-
　　　상투메프린시페,4.07,36.24,2.95,27.39,-,-
　　　세네갈,20.55,43.42,17.32,38.72,19.97,36.60
　　　세이셸,26.61,67.58,24.73,65.42,-,-
　　　시에라리온,15.78,27.60,19.81,33.59,-,-
　　　남아프리카공화국,30.20,33.47,29.12,34.34,27.50,30.85
　　　수단,8.43,21.47,12.33,18.50,-,-
　　　에스와티니,42.90,41.61,38.27,41.81,-,-
　　　탄자니아,9.01,18.76,9.20,17.37,-,-
　　　튀니지,41.29,59.30,41.47,52.87,37.34,48.73
　　　우간다,7.83,21.43,12.80,24.24,-,-
　　　잠비아,39.90,30.94,38.02,36.86,-,-
　　　짐바브웨,20.09,26.39,20.51,26.15,-,-
　　　오스트레일리아,24.41,18.29,21.49,16.63,19.45,16.91
　　　피지,21.12,60.12,16.26,46.17,-,-
　　　키리바시,3.33,74.80,6.58,106.72,-,-
　　　마셜제도,37.88,37.10,23.14,40.11,-,-
　　　미크로네시아,26.69,66.83,23.88,67.81,39.45,61.94
　　　뉴질랜드,18.08,21.73,16.22,19.58,16.28,18.01
　　　팔라우,1.17,80.99,0.71,85.86,-,-
　　　파푸아뉴기니,46.17,18.57,41.64,17.55,40.78,12.63
　　　사모아,4.99,52.82,4.53,49.89,-,-
　　　솔로몬제도,21.39,39.14,25.71,51.96,-,-
　　　통가,2.51,51.72,1.97,53.47,-,-
